CATEGORY,SUB CATEGORY,UNIT,DESIGNATION,NAME,VPN,MOBILE1,MOBILE2,STD,LANDLINE1,LANDLINE2, FAX,EMAIL,ADDRESS
CATEGORY,STATE CRIME RECORDS BUREAU,,Director FP Bureau,,17605,94979 75928,,0471 ,2551483,,,,
CATEGORY,STATE CRIME RECORDS BUREAU,,Chief Photographer        ,,           ,9497965414,,0471 ,2553662,,,,
CATEGORY,STATE CRIME RECORDS BUREAU,,SCRB Reception,,17606,,,0471,2447620,,,,
CATEGORY,STATE CRIME RECORDS BUREAU,,Manager ,,,94979 65284,,,,,,,
CATEGORY,Telecommunications,,SP Telecommunications,,17700,94979 96927,,0471 ,2446347,,,,
CATEGORY,Telecommunications,,Dy SP (C & T) Tele,,17701,94979 90308,,0471 ,2445828,,,,
CATEGORY,Telecommunications,,Dy SP (C & W)Tele,,17701,94979 90309,,,,,,,
CATEGORY,Telecommunications,,IP Tele HF Control,,17702,94979 87441,,0471,2448707,,,,
CATEGORY,Telecommunications,,IP Tele CWS ,,17701,94979 87439,,,,,,,
CATEGORY,Telecommunications,,IP Tele Cipher Cell,,,94979 87440,,0471,2448707,,,,
CATEGORY,Telecommunications,,IP Tele HQ Stores ,,,94979 87442,,0471,2448707,,,,
CATEGORY,Telecommunications,,SI Tele HQrs,,,94979 81147,,,,,,,
CATEGORY,Telecommunications,,EPABX Tele HQ,,17702,,,0471,2448707,,,,
CATEGORY,Telecommunications,,AA (Tele),,,94979 65340,,,,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele Tvm City,,,94979 87443,,,,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele Tvm Rural,,,94979 87444,,0471,2300503,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele Kollam,,17740,94979 87445,,0474,2768254,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele PTA,,,94979 87446,,,,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele ALPY,,11151,94979 87447,,0477,2230362,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele KTYM,,17750,94979 87448,,0481,2300171,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele IDKI,,,94979 87449,,,,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele EKM Rural,,,94979 87451,,0484,2630377,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele KOCHI.,,17730,94979 87450,,0484,2369679,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele TSR.,,17710,94979 87452,,0487,2360271,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele PLKD.,,,94979 87453,,,,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele MPM.,,15006,94979 87454,,0483,2738660,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele KKD City.,,17720,94979 87455,,0495,2720127,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele KKD RL.,,,94979 87456,,,,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele WYND.,,,94979 87457,,,,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele KNR.,,,94979 87458,,,,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele KSD.,,,94979 87459,,,,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele KEPA,,17792,94979 87460,,0487,2328770,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,IP Tele SPS Temple,,,94979 81146,,,,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,"Wireless Station
(Sannidhanam)",,17868,,,04735,202079,,,,
CATEGORY,Telecommunications,Telecommunication Sub-Units,"Wireless Station
(Pampa)",,,,,04735,203079,,,,
CATEGORY,POLICE TRAINING HEADQUARTERS,,ADGP  Training,,17760,9497999987 ,,0471,2323497,,,,
CATEGORY,KERALA POLICE ACADEMY,,Director,,14159,9497999987,,0487,2331100,,,,
CATEGORY,KERALA POLICE ACADEMY,,DIG Training,,17790,9497941580,,0487,2327894,2327894,,,
CATEGORY,KERALA POLICE ACADEMY,,Asst. Director (Trg.),,,94979 96930,,0487 ,2328340,,,,
CATEGORY,KERALA POLICE ACADEMY,,Asst. Director (Outdoor),,,94979 96929,,0487 ,2328481,,,,
CATEGORY,KERALA POLICE ACADEMY,,Asst. Director (Admn.),,,94979 96931,,0487 ,2325480,,,,
CATEGORY,KERALA POLICE ACADEMY,,Asst. Dir. (Police Science),,,94979 96932,,0487 ,2328835,,,,
CATEGORY,KERALA POLICE ACADEMY,,Asst. Director (Tech & MT Studies),,,9497996914,,0487,2328770,,,,
CATEGORY,KERALA POLICE ACADEMY,,Dy SP (Admn.),,,94979 90231,,,,,,,
CATEGORY,KERALA POLICE ACADEMY,,Dy SP (Traffic),,,94979 90228,,,,,,,
CATEGORY,KERALA POLICE ACADEMY,,Dy SP (Indoor),,,94979 90229,,,,,,,
CATEGORY,KERALA POLICE ACADEMY,,Dy SP (P.S.I),,,94979 87320,,,,,,,
CATEGORY,KERALA POLICE ACADEMY,,Dy SP (P.S.II),,,94979 90230,,,,,,,
CATEGORY,KERALA POLICE ACADEMY,,AC-I Wing,,,94979 90306,,,,,,,
CATEGORY,KERALA POLICE ACADEMY,,AC-II Wing,,,94979 90305,,,,,,,
CATEGORY,KERALA POLICE ACADEMY,,Criminologist,,,94979 65463,,,,,,,
CATEGORY,KERALA POLICE ACADEMY,,AA,,,94979 65359,,,,,,,
CATEGORY,KERALA POLICE ACADEMY,,Duty Officer/ Office,,17792,,,0487 ,2328770,,,,
CATEGORY,POLICE TRAINING COLLEGE,,"Principal, PTC",,17770,94979 96925,,0471,2323229,,,,
CATEGORY,POLICE TRAINING COLLEGE,,"Vice Principal, PTC",,17780,94979 90222,,0471 ,2323451,,,,
CATEGORY,POLICE TRAINING COLLEGE,,"Duty Office, PTC",,17788,,,0471,2323188,,,,
CATEGORY,POLICE TRAINING COLLEGE,,Senior Law Instructor-I,,,94979 87435,,,,,,,
CATEGORY,POLICE TRAINING COLLEGE,,Senior Law Instructor-II,,,94979 87434,,,,,,,
CATEGORY,POLICE TRAINING COLLEGE,,API - TT,,,94979 65444,,,,,,,
CATEGORY,POLICE TRAINING COLLEGE,,API - PRS,,,94979 87437,,,,,,,
CATEGORY,POLICE TRAINING COLLEGE,,MT SI,,,94979 87436,,,,,,,
CATEGORY,POLICE TRAINING COLLEGE,,Training Management Wing,,,94979 65443,,,,,,,
CATEGORY,POLICE TRAINING COLLEGE,,"QM, PTC",,,94979 65442,,,,,,,
CATEGORY,TRAFFIC AND ROAD SAFETY MANAGEMENT,,IGP Traffic & RSM,,,94979 98986,,0471 ,2329282,,,,
CATEGORY,TRAFFIC AND ROAD SAFETY MANAGEMENT,,SP [Traffic SZ],,,94979 80094,,0471,2321001,,,,
CATEGORY,TRAFFIC AND ROAD SAFETY MANAGEMENT,,SP [Traffic NZ],,,94979 63437,,0495,2769190,,,,
CATEGORY,"Hi-Tech Traffic Enforcement Control Room
",,"Hi-Tech Traffic Enforcement Control Room
",,,94979 60221,,0471,2332633,,,,
CATEGORY,ARMED  POLICE  BATTALIONS,,ADGP AP Bn.,,17801,94979 99994 ,,0471,2436054,,2438433,,
CATEGORY,ARMED  POLICE  BATTALIONS,,IGP AP Bn,,,94979 96905,,0471,2432211,,,,
CATEGORY,ARMED  POLICE  BATTALIONS,,DIG AP Bn,,,94979 98999,,0471,2438144,,,,
CATEGORY,ARMED  POLICE  BATTALIONS,,Manager,,13164,94979 01570,,0471,2438433,,,,
CATEGORY,ARMED  POLICE  BATTALIONS,,Duty Office,,13164,,,0471,2438433,,,,
CATEGORY,,"Commandant  MSP 
Malappuram- 676505",Commandant  MSP ,,,94979 96971,,0483 ,2738252,,2738252,,
CATEGORY,,"Commandant  MSP 
Malappuram- 676506",Deputy Commandant ,,17808,94979 90247,,0483 ,2734927,,,,
CATEGORY,,"Commandant  MSP 
Malappuram- 676507",AC (Adj),,,94979 90301,,,,,,,
CATEGORY,,"Commandant  MSP 
Malappuram- 676508",Duty Office,,17809,9497929797,,483,2734921,,,,
CATEGORY,,"Commandant  MSP 
Malappuram- 676509",AA,,,94979 65342,,0483,2734921,,,,
CATEGORY,,"Commandant  MSP 
Malappuram- 676510",Manager,,,94979 65306,,0483,2734921,,,,
CATEGORY,,"Commandant  MSP 
Malappuram- 676511","MSP Camp, Melmuri",,17810,,,0483 ,2779108,,,,
CATEGORY,,"Commandant  MSP 
Malappuram- 676512","MSP Camp, Areacode",,17811,,,0483 ,2850251,,,,
CATEGORY,,"Commandant  MSP 
Malappuram- 676513","MSP Camp, Klari",,17812,,,0494,2499921,,,,
CATEGORY,,"Commandant,  SAP
Peroorkada P.O
Tvpm-695005","Commandant,  SAP",,17803,94979 96970 ,,0471 ,2433949,,,,
CATEGORY,,"Commandant,  SAP
Peroorkada P.O
Tvpm-695006",Dy.Commandant,,17804,94979 90245,,0471,2431921,,,,
CATEGORY,,"Commandant,  SAP
Peroorkada P.O
Tvpm-695007",Asst.Commandant (Adj),,,94979 87416,,,,,,,
CATEGORY,,"Commandant,  SAP
Peroorkada P.O
Tvpm-695008",Duty Office,,17805,,,0471,2438417,,,,
CATEGORY,,"Commandant,  SAP
Peroorkada P.O
Tvpm-695009",AA,,,9497965343,,,,,,,
CATEGORY,,"Commandant,  SAP
Peroorkada P.O
Tvpm-695010",Manager,,,94979 65307,,,,,,,
CATEGORY,,"Commandant KAP 1
Ramavarmapuram
Thrissur -680631",Commandant KAP 1,,17813,94979 96969 ,,0487 ,2328309,,,,
CATEGORY,,"Commandant KAP 1
Ramavarmapuram
Thrissur -680632",Deputy Commandant ,,17815,94979 90240,,0487 ,2327539,,,,
CATEGORY,,"Commandant KAP 1
Ramavarmapuram
Thrissur -680633","Control Room, KAP I",,,9497929997,,,,,,,
CATEGORY,,"Commandant KAP 1
Ramavarmapuram
Thrissur -680634",Duty Office,,17814,94979 90283,,0487,2327755,,,,
CATEGORY,,"Commandant KAP 1
Ramavarmapuram
Thrissur -680635",AC (Adj),,,9497990283,,,,,,,
CATEGORY,,"Commandant KAP 1
Ramavarmapuram
Thrissur -680636",AA,,,94979 65344,,,,,,,
CATEGORY,,"Commandant KAP 1
Ramavarmapuram
Thrissur -680637",Manager,,,94979 65308,,,,,,,
CATEGORY,,"Commandant KAP 2 Muttikulangara, Palakkad-678594",Commandant KAP 2 ,,17816,94979 96968 ,,0491 ,2555191,,,,
CATEGORY,,"Commandant KAP 2 Muttikulangara, Palakkad-678595",Deputy Commandant ,,17817,94979 90241,,0491 ,2555190,,,,
CATEGORY,,"Commandant KAP 2 Muttikulangara, Palakkad-678596",AC (Adj),,,,,94979 90284,,,,,
CATEGORY,,"Commandant KAP 2 Muttikulangara, Palakkad-678597",Duty Office,,17818,,,491,2555212,,,,
CATEGORY,,"Commandant KAP 2 Muttikulangara, Palakkad-678598",Nilambur Dett.Camp,,,,,4931,220253,,,,
CATEGORY,,"Commandant KAP 2 Muttikulangara, Palakkad-678599",AA,,,9497965345,,,,,,,
CATEGORY,,"Commandant KAP 2 Muttikulangara, Palakkad-678600",Manager,,,9497965309,,,,,,,
CATEGORY,,"Commandant KAP 3
Adoor Vayala PO
Pathanamthitta 691554",Commandant ,,17820,9497996967,,04734,217173,,,,
CATEGORY,,"Commandant KAP 3
Adoor Vayala PO
Pathanamthitta 691555",Deputy Commandant,,17821,9497990242,,04734,217168,,,,
CATEGORY,,"Commandant KAP 3
Adoor Vayala PO
Pathanamthitta 691556",Asst Commandant (Adj),,17822,9497990288,,04734,217137,,,,
CATEGORY,,"Commandant KAP 3
Adoor Vayala PO
Pathanamthitta 691557",Duty Office,,17823,,,04734,217172,,,,
CATEGORY,,"Commandant KAP 3
Adoor Vayala PO
Pathanamthitta 691558",AA,,,9497965346,,,,,,,
CATEGORY,,"Commandant KAP 3
Adoor Vayala PO
Pathanamthitta 691559",Manager,,,9497965310,,04734,216988,,,,
CATEGORY,,"Commandant KAP 4
Mangattuparmba
Kannur University Campus PO
Kannur ",Commandant ,,,9497996966,,0497,2780110,,,,
CATEGORY,,"Commandant KAP 4
Mangattuparmba
Kannur University Campus PO
Kannur ",Deputy Commandant,,,9497990243,,0497,2783333,,,,
CATEGORY,,"Commandant KAP 4
Mangattuparmba
Kannur University Campus PO
Kannur ",Asst Commandant,,,9497990293,,,,,,,
CATEGORY,,"Commandant KAP 4
Mangattuparmba
Kannur University Campus PO
Kannur ",Duty Office,,,,,0497,2780216,,,,
CATEGORY,,"Commandant KAP 4
Mangattuparmba
Kannur University Campus PO
Kannur ",AA,,,9497965347,,0497,2781316,,,,
CATEGORY,,"Commandant KAP 4
Mangattuparmba
Kannur University Campus PO
Kannur ",Manager,,,9497965311,,0497,2781316,,,,
CATEGORY,,"commandant KAP 5 HQ
Kuttikanam Idukku 685531",Commandant ,,,9497996965,,0497,2783333,,,,
CATEGORY,,"commandant KAP 5 HQ
Kuttikanam Idukku 685532",Deputy Commandant,,,9497990244,,,,,,,
CATEGORY,,"commandant KAP 5 HQ
Kuttikanam Idukku 685533",Asst Commandant (Adj),,,9497990295,,,,,,,
CATEGORY,,"commandant KAP 5 HQ
Kuttikanam Idukku 685534",AA,,,9497965646,,,,,,,
CATEGORY,,"commandant KAP 5 HQ
Kuttikanam Idukku 685535",Manger,,,9497965312,,,,,,,
CATEGORY,,"Detachment Camp KAP 5Maniyar Vadasserikkara (Via)
Pathanamthitta
",Control Room KAP 5,,,9497938100,,,,,,,
CATEGORY,,"Detachment Camp KAP 5Maniyar Vadasserikkara (Via)
Pathanamthitta
",Duty office,,,,,04735,274300,,,,
CATEGORY,,Commandant RRRF Valakkulam PO Klari Malappuram 676508,Commandant,,17829,9497996964,,0494,2489395,,,,
CATEGORY,,Commandant RRRF Valakkulam PO Klari Malappuram 676509,Dy Commandant,,,9497990246,,,,,,,
CATEGORY,,Commandant RRRF Valakkulam PO Klari Malappuram 676510,Asst Commandant (Adj),,,9497990302,,,,,,,
CATEGORY,,Commandant RRRF Valakkulam PO Klari Malappuram 676511,Duty Office,,17831,,,0494,2489397,,,,
CATEGORY,,Commandant RRRF Valakkulam PO Klari Malappuram 676512,AA,,,9497965348,,,,,,,
CATEGORY,,Commandant IR BNRamavsrmspuram Thrissur 680631,Commandant,,,9497996963,,0487,2328310,,,,
CATEGORY,,Commandant IR BNRamavsrmspuram Thrissur 680632,Dy Commandant,,,9497990349,,,,,,,
CATEGORY,,Commandant IR BNRamavsrmspuram Thrissur 680633,Duty Office,,,,,0487,2328720,,,,
CATEGORY,,Commandant IR BNRamavsrmspuram Thrissur 680634,AA,,,9497939186,,,,,,,
CATEGORY,,Commandant IR BNRamavsrmspuram Thrissur 680635,Manager,,,9497939187,,,,,,,
CATEGORY,,"Commandant, SISFNear SISF camp, PeroorkadaThiruvananthapuram 695005",Commandant,,,9497996907,,0471,2435080,,,,
CATEGORY,,"Commandant, SISFNear SISF camp, PeroorkadaThiruvananthapuram 695006",Asst Commandant (Chief Security Officer),,,9497939457,,,,,,,
CATEGORY,,"Commandant, SISFNear SISF camp, PeroorkadaThiruvananthapuram 695007",AA,,,9497939947,,,,,,,
CATEGORY,,"Commandant Women Police Bn.National Gmes Village Menamkulam , Kazhakuttom PO,Thiruvananthapuram 695005",Commandant,,,9497999123,,0471,2704200,,,,
CATEGORY,,"Commandant Women Police Bn.National Gmes Village Menamkulam , Kazhakuttom PO,Thiruvananthapuram 695006",AA,,,9497930583,,,,,,,
CATEGORY," Anti Terrorist Force (ATF)AR camp , Thrippunithura, EKM City",,SP,,,9497996906,,0484,2777240,,,,
CATEGORY,"Kerala Anti Terrorism Squad (KATS) Areekodu PO, Malalppuram",,AC Operatios KATS,,,9497990347,,0483,2850251,,,,
CATEGORY,,,SP Railways,,17100,9497996926,,0471,2320619,,2320619,,
CATEGORY,,,Dy SP (Admin),,,9497990226,,0471,2323000,,,,
CATEGORY,,,Head Quarters/ Control Room/ EPABX,,,,,0471,2321532,,,,
CATEGORY,,,Rail Alert Number,,,9846200100,,,,,,,
CATEGORY,,,Toll Free Complaint Registration Number,,,,,,1512,,,,
CATEGORY,,,AA,,,9497965341,,,,,,,
CATEGORY,,,Manager,,,9497965285,,,,,,,
CATEGORY,,,Dy SP (DCRB) Ryls TVPM,,,9497990224,,0471,2334154,,,,
CATEGORY,,,Dy SP Ryls EKM,,17102,9497990225,,0484,2390350,,,,
CATEGORY,,,Dy SP Rlys Palakkad,,17103,9497990227,,0491,2555436,,,,
CATEGORY,,,IRP TVM,,,9497987332,,0471,2335354,,,,
CATEGORY,,,IRP EKM,,17105,9497987333,,0484,2376359,,,,
CATEGORY,,,IRP Shornur ,,17106,9497987330,,0466,2222410,,,,
CATEGORY,,,IRP Kozhikkode,,17115,9497987331,,0495,2703499,,,,
CATEGORY,,,RPS TVM,,17104,9497981113,,0471,2331258,,,,
CATEGORY,,,RPS Parassala,,17108,9497981112,,0471,2202068,,,,
CATEGORY,,,RPS Kollam,,17109,9497981114,,0474,2748073,,,,
CATEGORY,,,RPS Punalur,,17110,9497981115,,0475,2222575,,,,
CATEGORY,,,RPS Alappuzha,,17111,9497981117,,0477,2253823,,,,
CATEGORY,,,RPS Kottayam,,17112,9497981116,,0481,2562628,,,,
CATEGORY,,,RPS Eranakulam,,17105,9497981118,,0484,2376359,,,,
CATEGORY,,,RPS Thrissur,,17113,9497981119,,0487,2428111,,,,
CATEGORY,,,RPS Shornur,,17106,9497981120,,0466,2222410,,,,
CATEGORY,,,RPS Palakkad,,17114,9497981121,,0491,2555218,,,,
CATEGORY,,,RPS Kozhikkode,,17115,9497981122,,0495,2703499,,,,
CATEGORY,,,RPS Kannur,,17116,9497981123,,0497,2705018,,,,
CATEGORY,,,RPS Kasaragod,,17117,9497981124,,04994,223030,,,,
CATEGORY,,,"SI-1, DCRB Railways",,,9497981110,,,,,,,
CATEGORY,,,"SI-2, DCRB Railways",,,9497981109,,,,,,,
CATEGORY,,,"MTO, Railways",,,9497981111,,,,,,,
CATEGORY,,,ADGP Coastal Security,,,9497999996,,0471,2323330,,,,
CATEGORY,,,IGP Costal Police (Kochi Range),,,94979 98992,,0484,2353516,,,,
CATEGORY,,,DIG Coastal Security,,,94979 96902,,0484,2211000,,,,
CATEGORY,,,AIG Coastal Security,,,9497996910,,0484,2211000,,,,
CATEGORY,,,Inspector Vizhinjam TVPM,,,94979 87478,,0471,2487200,,,,
CATEGORY,,,"Inspector Poovar,TVPM Rural",,,9497905890,,0471,2210200,,,,
CATEGORY,,,"Inspector Anchuthengu,TVPM Rural",,,9497905895,,0470,2643179,,,,
CATEGORY,,,Inspector Neendakara Kollam,,,94979 87044,,0476 ,2685200,,,,
CATEGORY,,,Inspector Thottappally ALPY,,,94979 61341,,0477,2296100,,,,
CATEGORY,,,Inspector Arthunkal ALPY,,,94979 10160,,0478 ,2573052,,,,
CATEGORY,,,Inspector Fort Kochi ,,,94979 32848,,0484,2215006,,,,
CATEGORY,,,Inspector Azheekode TSR,,,94979 62603,,0480,2815100,,,,
CATEGORY,,,Inspector Munakakadavu TSR ,,,94979 41832,,0487,2530115,,,,
CATEGORY,,,Inspector Ponnani MPM,,,94979 21212,,0494,2666989,,,,
CATEGORY,,,Inspector Beypore KKD City,,,9497987175,,0495,2471008,,,,
CATEGORY,,,Inspector Elathur KKD City,,,9497987183,,0495 ,2461182,,,,
CATEGORY,,,Inspector Vadakara KKD RL,,,9497963663,,0496,2513000,,,,
CATEGORY,,,Inspector Azheekal Kannur,,,94979 80880,,0497 ,2771093,,,,
CATEGORY,,,Inspector Thalassery Kannur,,,94979 27789,,0490 ,2322100,,,,
CATEGORY,,,Inspector Bekal Kasaragod,,,94979 70297,,0499,4224800,,,,
CATEGORY,,,Inspector Thrikkaripur Kasaragod,,,94979 70217,,0467,2287123,,,,
CATEGORY,,,Inspector Kumbala Kasaragod,,,94979 70226,,04998,241100,,,,
CATEGORY,,,"Cyber Police Station Dy.SP (SHO)(PTC, TVPM)",,,94979 90188,,0471,2322090,,,,
CATEGORY,,,Cyberdome,,,,,,,,,cyberdome.pol@kerala.gov.in ,
CATEGORY,,,Inspector Hi-Tech Cell (PHQ),,,94979 90330,,0471,2721547,,,,
CATEGORY,,,Trivandrum City,,,9497975998,,0471 ,2329107,,,,
CATEGORY,,,Trivandrum Rural,,,9497 936113,,,,,,,
CATEGORY,,,Kollam City,,,9497 960680,,,,,,,
CATEGORY,,,Kollam Rural,,,94979 80211,,0474 ,2450180,,,,
CATEGORY,,,Pathanamthitta,,,94979 76001,,0468 ,2327914,,,,
CATEGORY,,,Alappuzha,,,94979 76000 ,94979 81288,0477,2230804,,,,
CATEGORY,,,Kottayam,,,94979 76002,,0481,2561304,,,,
CATEGORY,,,Idukki,,,94979 76003,,,,,,,
CATEGORY,,,Kochi City,,,94979 76004,,0484,4019664,,,,
CATEGORY,,,Eranakulam Rural,,,9497976005,,,,,,,
CATEGORY,,,Thrissur City,,,94979 62836,,0487,2978400,,,,
CATEGORY,,,Thrissur Rural,,,94979 76006,,,,,,,
CATEGORY,,,Palakkad,,,94979 76007,,,,,,,
CATEGORY,,,Malappuram,,,94979 76008,,,,,,,
CATEGORY,,,Kozhikode City,,,94979 76009,,,,,,,
CATEGORY,,,Kozhikode Rural,,,94979 76010,,0496,2523131,,,,
CATEGORY,,,Wayanad,,,94979 76011 ,,,,,,,
CATEGORY,,,Kannur,,,94979 76012,,,,,,,
CATEGORY,,,Kasaragod,,,94979 76013,,,,,,,
CATEGORY,,,"Directorate,GHS,Chalai, Killippalam, TVM",,,9497980084,,0471,2452655,,,,
CATEGORY,,,Asst. State Nodal Officer,,,94979 87338,,,,,,,
CATEGORY,,,"Office, PHQ",,,,,0471,2722876,,,,
CATEGORY,,,Thiruvananthapuram City,,,99953 99953,,,1091,,,,
CATEGORY,,,Thiruvananthapuram Rural,,,,,0470,2620800,,,,
CATEGORY,,,Kollam City,,,,,0474,2764579,1091,,,
CATEGORY,,,Kollam Rural,,,,,0474,2456030,2452360,,,
CATEGORY,,,Pathanamthitta,,,,,0468 ,2325352,1091,,,
CATEGORY,,,Idukki  - Thodupuzha,,,,,04862,229100,,,,
CATEGORY,,,Idukki  - Kattappana,,,94979 32403,,,1091,,,,
CATEGORY,,,Alappuzha,,,,,0477,2237474,,,,
CATEGORY,,,Kottayam,,,,,0481,2561414,1091,,,
CATEGORY,,,Kochi City,,,,,0484,2359708,1091,,,
CATEGORY,,,Ernakulam RL,,,95440 00100,,0484,2623399,1091,,,
CATEGORY,,,Thrissur City,,,,,0487,2442885,1091,,,
CATEGORY,,,Thrissur Rural,,,,,,1091,,,,
CATEGORY,,,Palakkad,,,,,0491,2504850,1091,,,
CATEGORY,,,Malappuram,,,,,0483,2734830,1091,,,
CATEGORY,,,Kozhikode City,,,,,0495,2724143,1091,,,
CATEGORY,,,Kozhikode RL,,,,,0496,2517767,1091,,,
CATEGORY,,,Wayanad,,,,,0493,6206127,1091,,,
CATEGORY,,,Kannur,,,,,0497,2764046,1091,,,
CATEGORY,,,Kasaragod,,,,,04994,257591,1091,,,
CATEGORY,,,Chief Police Co- ordinator,,17860,,,04735,202076,,,,
CATEGORY,,,Jt. Chief Police Co- ordinator,,17861,,,04735,202205,,,,
CATEGORY,,,"SNDM, Police Spl. Officer",,17862,,,04735,202029,,,,
CATEGORY,,,"Sannidhanam,Control Room ",,17863,,,04735,202016,,,,
CATEGORY,,,"Sannidhanam, Police Station ",,17864,,,04735,202014,,,,
CATEGORY,,,"Pampa, SPO",,17865,,,04735,203055,,,,
CATEGORY,,,"Pampa, Control Room",,17866,,,04735,203386,,,,
CATEGORY,,,"SHO,Pampa, PS",,17867,94979 87049,,04735,203412,,,,
CATEGORY,,,"Pampa, PS",,17867,94979 80229,,04735,203412,,,,
CATEGORY,,,Police Wireless Station,,17868,,,04735,202079,,,,
CATEGORY,,,Spl. Commr.(Dist Judge),,17869,,,04735,202015,,,,
CATEGORY,,,"Sannidhanam,PRO Information",,17871,,,04735,202048,,,,
CATEGORY,,,"Pampa, PRO Information",,17872,,,04735,203339,,,,
CATEGORY,,,Director,,4000,9447678100,,0471,2303220,2303854,,,
CATEGORY,,,IGP,,4003,8289897433,,0471,2308912,,,,
CATEGORY,,,SP [Int.],,4005,9447500050,,0471,2303293,,,,
CATEGORY,,,DySP (HQ),,,9447582414,,0471,2300786,,,,
CATEGORY,,,Addl.Dir.Prosecution,,4007,9847375051,,0471,2302605,,,,
CATEGORY,,,Executive Engineer ( Civil),,,9447865989,,0471,2305393,,,,
CATEGORY,,,IB Inspector,,4008,9447582447,,0471,2305393,,,,
CATEGORY,,,PRO,,,9446200024,,0471,2305393,,,,
CATEGORY,,,Manager,,4008,9447875398,,0471,2305393,,,,
CATEGORY,,,"Vigilance Public Greviance
Complaints Cell",,,8592900900,,,,,,,
CATEGORY,,,Duty Officer/Office,,4009,,,0471,2305393,,,,
CATEGORY,,,Duty Officer/Office,,,,,0471,2305033,,2305033,,
CATEGORY,"Special Investigation Unit-I, TVPM",,Supdt of Police,,4012,9447500020,,0471,2346686,,,,
CATEGORY,"Special Investigation Unit-I, TVPM",,DYSP,,4014,9447142153,,0471,2346252,,,,
CATEGORY,"Special Investigation Unit-I, TVPM",,DYSP,,4014,9447495454,,0471,2346252,,,,
CATEGORY,"Special Investigation Unit-I, TVPM",,DYSP,,4014,9495625788,,0471,2346252,,,,
CATEGORY,"Special Investigation Unit-I, TVPM",,DYSP,,4014,9447582414,,0471,2346252,,,,
CATEGORY,"Special Investigation Unit-I, TVPM",,Sr. Supdt,,4014,,,0471,2346252,,,,
CATEGORY,"Special Investigation Unit-II, TVPM",,Supdt of Police,,4018,9447454455,,0471,2340054,,,,
CATEGORY,"Special Investigation Unit-II, TVPM",,DYSP,,4020,9447582467,,0471,2340024,,,,
CATEGORY,"Special Investigation Unit-II, TVPM",,DYSP,,4020,9495551070,,0471,2340024,,,,
CATEGORY,"Southern Range, TVPM",,Supdt of Police,,4041,9447500022,,0471,2304118,,,,
CATEGORY,"Southern Range, TVPM",,DYSP,,4043,9447582418,,0471,2304117,,,,
CATEGORY,"Southern Range, TVPM",,DYSP,,4043,9447582417,,0471,2304117,,,,
CATEGORY,"Southern Range, TVPM",,"DYSP, TVPM Unit",,4046,9447582421,,0471,2304119,,,,
CATEGORY,"Southern Range, TVPM",,DYSP Kollam,,4048,9447582422,,0471,2795092,,,,
CATEGORY,"Southern Range, TVPM",,DYSP Pathanamthitta,,4050,9447582423,,0468,2223270,,,,
CATEGORY,"Eastern Range, KTYM",,Supdt of Police,,4052,9447500030,,0481,2585501,,,,
CATEGORY,"Eastern Range, KTYM",,DYSP,,,9447582424,,0481,2585502,,,,
CATEGORY,"Eastern Range, KTYM",,DYSP,,,9447582425,,0481,2585504,,,,
CATEGORY,"Eastern Range, KTYM",,DYSP Kottayam,,4058,9447582426,,0481,2585144,,,,
CATEGORY,"Eastern Range, KTYM",,DYSP Alapuzha,,4060,9447582427,,0477,2237016,,,,
CATEGORY,"Eastern Range, KTYM",,DYSP Idukki,,4062,9447582428,,0486,2256611,,,,
CATEGORY,"Central Range, EKM",,Supdt of Police,,4064,9447500040,,0484,2330350,,,,
CATEGORY,"Central Range, EKM",,DYSP,,4066,9447582429,,0484,2330901,,,,
CATEGORY,"Central Range, EKM",,DYSP,,4066,9446415007,,0484,2330901,,,,
CATEGORY,"Central Range, EKM",,DYSP Ernakulam,,4069,9447582431,,0484,2336100,,,,
CATEGORY,"Central Range, EKM",,DYSP Thrissur,,4071,9447582434,,0487,2334200,,,,
